"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:21:49.0937339 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData\Local\Microsoft","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0937476 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\AppData\Local\Microsoft","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0937540 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\AppData\Local\Microsoft","SUCCESS","IndexNumber: 0x200000000024b"
"7:21:49.0937608 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\AppData\Local\Microsoft","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0938281 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\AppData\Local\Microsoft","SUCCESS",""
"7:21:49.0944367 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0944486 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0944555 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows","SUCCESS","IndexNumber: 0x200000000024c"
"7:21:49.0944624 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\AppData\Local\Microsoft\Windows","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0945441 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows","SUCCESS",""
"7:21:49.0945931 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0946067 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0946133 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS","IndexNumber: 0x2000000003d82"
"7:21:49.0946208 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\AppData\Local\Microsoft\Windows\Caches","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0946907 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\AppData\Local\Microsoft\Windows\Caches","SUCCESS",""
"7:21:49.0947385 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData\Local\Temp","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0947515 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\AppData\Local\Temp","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0947581 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\AppData\Local\Temp","SUCCESS","IndexNumber: 0x200000000024a"
"7:21:49.0947648 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\AppData\Local\Temp","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0948312 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\AppData\Local\Temp","SUCCESS",""
"7:21:49.0948782 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\AppData\Local\Temp\RARSFX0","NAME NOT FOUND","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"7:21:49.0958235 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Contacts","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0958387 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Contacts","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0958470 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Contacts","SUCCESS","IndexNumber: 0x2000000003da4"
"7:21:49.0958546 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Contacts","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0958629 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Contacts","SUCCESS",""
"7:21:49.0959021 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Desktop","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0959135 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Desktop","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0959194 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Desktop","SUCCESS","IndexNumber: 0x3000000000229"
"7:21:49.0959262 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Desktop","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0959401 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Desktop","SUCCESS",""
"7:21:49.0959766 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Desktop\Mal","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0959871 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Desktop\Mal","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0959927 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Desktop\Mal","SUCCESS","IndexNumber: 0x7000000008fe2"
"7:21:49.0959992 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Desktop\Mal","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0960046 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Desktop\Mal","SUCCESS",""
"7:21:49.0960422 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0960530 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0960587 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a","SUCCESS","IndexNumber: 0x9000000010567"
"7:21:49.0960654 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0961690 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Desktop\Mal\VirusShare_7ce4894db9a4e4e3c8a19406da65e80a","SUCCESS",""
"7:21:49.0962221 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Documents","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0962983 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Documents","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0963068 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Documents","SUCCESS","IndexNumber: 0x3000000000228"
"7:21:49.0963193 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Documents","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0963343 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Documents","SUCCESS",""
"7:21:49.0963786 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Downloads","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0963899 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Downloads","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0963955 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Downloads","SUCCESS","IndexNumber: 0x3000000000227"
"7:21:49.0964013 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Downloads","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0964070 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Downloads","SUCCESS",""
"7:21:49.0964394 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Favorites","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0964495 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Favorites","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0964548 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Favorites","SUCCESS","IndexNumber: 0x3000000000220"
"7:21:49.0964602 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Favorites","END OF FILE","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0965412 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Favorites","SUCCESS",""
"7:21:49.0965815 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Links","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0965937 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Links","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0965996 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Links","SUCCESS","IndexNumber: 0x300000000021f"
"7:21:49.0966055 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Links","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0966117 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Links","SUCCESS",""
"7:21:49.0966437 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Music","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0966542 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Music","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0966594 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Music","SUCCESS","IndexNumber: 0x300000000021e"
"7:21:49.0966650 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Music","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0966702 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Music","SUCCESS",""
"7:21:49.0967046 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Pictures","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0967149 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Pictures","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0967202 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Pictures","SUCCESS","IndexNumber: 0x3000000000218"
"7:21:49.0967257 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Pictures","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0967310 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Pictures","SUCCESS",""
"7:21:49.0968632 AM","malware.exe","976","CreateFile","C:\Users\Sysuser\Saved Games","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Complete If Oplocked, Open For Backup, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:21:49.0968767 AM","malware.exe","976","SetBasicInformationFile","C:\Users\Sysuser\Saved Games","SUCCESS","CreationTime: -1, LastAccessTime: -1, LastWriteTime: -1, ChangeTime: -1, FileAttributes: n/a"
"7:21:49.0968831 AM","malware.exe","976","QueryFileInternalInformationFile","C:\Users\Sysuser\Saved Games","SUCCESS","IndexNumber: 0x3000000000217"
"7:21:49.0968907 AM","malware.exe","976","FileSystemControl","C:\Users\Sysuser\Saved Games","SUCCESS","Control: FSCTL_FILE_PREFETCH"
"7:21:49.0968974 AM","malware.exe","976","CloseFile","C:\Users\Sysuser\Saved Games","SUCCESS",""
